MSSubClass,MSZoning,LotArea,LotConfig,BldgType,OverallCond,YearBuilt,YearRemodAdd,Exterior1st,BsmtFinSF2,TotalBsmtSF,2ndFlrSF,FullBath,BedroomAbvGr,KitchenAbvGr,Fireplaces,GarageArea,PoolArea,SaleCondition,SalePrice
60,RL,8450,Inside,1Fam,5,2003,2003,VinylSd,0.0,856.0,854,2,3,1,0,548.0,0,Normal,208500.0
20,RL,9600,FR2,1Fam,8,1976,1976,MetalSd,0.0,1262.0,0,2,3,1,1,460.0,0,Normal,181500.0
60,RL,11250,Inside,1Fam,5,2001,2002,VinylSd,0.0,920.0,866,2,3,1,1,608.0,0,Normal,223500.0
70,RL,9550,Corner,1Fam,5,1915,1970,Wd Sdng,0.0,756.0,756,1,3,1,1,642.0,0,Abnorml,140000.0
60,RL,14260,FR2,1Fam,5,2000,2000,VinylSd,0.0,1145.0,1053,2,4,1,1,836.0,0,Normal,250000.0
50,RL,14115,Inside,1Fam,5,1993,1995,VinylSd,0.0,796.0,566,1,1,1,0,480.0,0,Normal,143000.0
20,RL,10084,Inside,1Fam,5,2004,2005,VinylSd,0.0,1686.0,0,2,3,1,1,636.0,0,Normal,307000.0
60,RL,10382,Corner,1Fam,6,1973,1973,HdBoard,32.0,1107.0,983,2,3,1,2,484.0,0,Normal,200000.0
50,RM,6120,Inside,1Fam,5,1931,1950,BrkFace,0.0,952.0,752,2,2,2,2,468.0,0,Abnorml,129900.0
190,RL,7420,Corner,2fmCon,6,1939,1950,MetalSd,0.0,991.0,0,1,2,2,2,205.0,0,Normal,118000.0
20,RL,11200,Inside,1Fam,5,1965,1965,HdBoard,0.0,1040.0,0,1,3,1,0,384.0,0,Normal,129500.0
60,RL,11924,Inside,1Fam,5,2005,2006,WdShing,0.0,1175.0,1142,3,4,1,2,736.0,0,Partial,345000.0
20,RL,12968,Inside,1Fam,6,1962,1962,HdBoard,0.0,912.0,0,1,2,1,0,352.0,0,Normal,144000.0
20,RL,10652,Inside,1Fam,5,2006,2007,VinylSd,0.0,1494.0,0,2,3,1,1,840.0,0,Partial,279500.0
20,RL,10920,Corner,1Fam,5,1960,1960,MetalSd,0.0,1253.0,0,1,2,1,1,352.0,0,Normal,157000.0
45,RM,6120,Corner,1Fam,8,1929,2001,Wd Sdng,0.0,832.0,0,1,2,1,0,576.0,0,Normal,132000.0
20,RL,11241,CulDSac,1Fam,7,1970,1970,Wd Sdng,0.0,1004.0,0,1,2,1,1,480.0,0,Normal,149000.0
